main_author_orcid,openalex_id,title,publication_year,publication_date,doi,type,cited_by_count,journal,topics,co_authors,co_author_orcids,num_co_authors,abstract,keywords
0000-0002-3517-9034,W2731146755,A tale of stars and cliques,2018,2018-06-20,https://doi.org/10.1016/j.jcta.2018.06.009,article,1,Journal of Combinatorial Theory Series A,Limits and Structures in Graph Theory; Graph Labeling and Dimension Problems; Graph theory and applications,Joanna Polcyn; Christian Reiher,0000-0002-4777-2556; 0000-0002-1793-3865,2,,Stars; Astronomy; Computer science; Physics
0000-0002-3517-9034,W2781977872,Subgraphs of large minimal degree,1992,1992-01-01,,article,1,,Limits and Structures in Graph Theory; Advanced Graph Theory Research; Mathematical Approximation and Integration,Péter L. Erdős,0000-0002-1139-2316,1,,Degree (music); Computer science; Mathematics; Physics
0000-0002-3517-9034,W4205624872,When is a random graph projective?,2006,2006-07-12,https://doi.org/10.1016/j.ejc.2006.06.010,article,1,European Journal of Combinatorics,Limits and Structures in Graph Theory; Graph theory and applications; Advanced Graph Theory Research,Jaroslav Nešetřil,0000-0002-5133-5586,1,,Mathematics; Combinatorics; Projective test; Graph; Discrete mathematics; Pure mathematics
0000-0002-3517-9034,W2048880901,"On nonatomic submeasures on <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" overflow=""scroll""><mml:mi mathvariant=""double-struck"">N</mml:mi></mml:math>. II",2008,2008-06-25,https://doi.org/10.1016/j.jmaa.2008.06.029,article,6,Journal of Mathematical Analysis and Applications,"Approximation Theory and Sequence Spaces; Advanced Banach Space Theory; Rings, Modules, and Algebras",,,0,,Mathematics; Sequence (biology); Zero (linguistics); Combinatorics; Type (biology); Algorithm; Discrete mathematics
0000-0002-3517-9034,W1520007244,Wiley‐Interscience Series in Discrete Mathematics and Optimization,2000,2000-02-28,https://doi.org/10.1002/9781118032718.scard,other,730,,Quantum Computing Algorithms and Architecture; Cellular Automata and Applications; DNA and Biological Computing,Svante Janson; Andrzej Ruciński,0000-0002-9680-2790; 0000-0002-0742-7694,2,,Atlanta; Library science; Citation; Computer science; Series (stratigraphy); Artificial intelligence; History
0000-0002-3517-9034,W2095105201,Sparse Anti-Ramsey Graphs,1995,1995-01-01,https://doi.org/10.1006/jctb.1995.1010,article,2,Journal of Combinatorial Theory Series B,Limits and Structures in Graph Theory; Advanced Topology and Set Theory; graph theory and CDMA systems,Yoshiharu Kohayakawa,0000-0001-7841-157X,1,,Combinatorics; Mathematics; Graph; Girth (graph theory); Enhanced Data Rates for GSM Evolution; Ramsey's theorem; Discrete mathematics; Computer science; Artificial intelligence
0000-0002-3517-9034,W2251388250,Balanced Extensions of Spare Graphs,1992,1992-01-01,https://doi.org/10.1016/s0167-5060(08)70628-9,book-chapter,1,Annals of discrete mathematics,Graph theory and applications; Limits and Structures in Graph Theory; Advanced Graph Theory Research,Andrzej Ruciński,0000-0002-0742-7694,1,,Combinatorics; Mathematics; Graph; Bound graph; Discrete mathematics; Graph power; Line graph
0000-0002-3517-9034,W1534828071,Index of Notation,2000,2000-02-28,https://doi.org/10.1002/9781118032718.indsp1,other,0,,,Svante Janson; Andrzej Ruciński,0000-0002-9680-2790; 0000-0002-0742-7694,2,,Index (typography); Notation; Computer science; Mathematics; Statistics; Programming language; Arithmetic
0000-0002-3517-9034,W1543307778,ZABYTKOWE DZWONY KOŚCIELNE W WIELKOPOLSCE STAN ZACHOWANIA I PERSPEKTYWY BADAWCZE,2005,2005-01-01,,article,0,Ochrona Zabytków,Polish socio-economic development; transportation and logistics systems,,,0,,Chemistry
0000-0002-3517-9034,W2149682613,"Correction to ""A Suboptimal Lossy Date Compression Based On Approximate Pattern Matching""",1997,1997-11-01,https://doi.org/10.1109/tit.1997.641579,article,0,IEEE Transactions on Information Theory,Algorithms and Data Compression; Advanced Data Compression Techniques; Data Management and Algorithms,,,0,,Lossy compression; Computer science; Data compression; Matching (statistics); Compression (physics); Algorithm; Mathematics; Artificial intelligence; Statistics
0000-0002-3517-9034,W2158274269,On the minimum degree forcing F-free graphs to be (nearly) bipartite,2007,2007-08-23,https://doi.org/10.1016/j.disc.2007.06.047,article,0,Discrete Mathematics,Limits and Structures in Graph Theory; Advanced Graph Theory Research; Graph Labeling and Dimension Problems,,,0,,Combinatorics; Mathematics; Bipartite graph; Degree (music); Graph; Complete bipartite graph; Discrete mathematics; Foster graph; Graph power; Line graph; Physics
0000-0002-3517-9034,W2272262267,"On maximal tail probability of sums of nonnegative, independent and identically distributed random variables",2017,2017-05-10,https://doi.org/10.1016/j.spl.2017.04.024,preprint,0,Statistics & Probability Letters,Limits and Structures in Graph Theory; Graph theory and applications; Advanced Graph Theory Research,Katarzyna Mieczkowska; Matas Šileikis,0000-0001-9280-752X; 0000-0002-6353-9105,2,,Independent and identically distributed random variables; Mathematics; Combinatorics; Random variable; Markov chain; Upper and lower bounds; Random graph; Graph; Discrete mathematics; Statistics; Mathematical analysis
0000-0002-3517-9034,W2282709358,On the Size and Connectivity of the k-Core of a Random Graph,2007,2007-08-16,,article,0,University of Minnesota Digital Conservancy (University of Minnesota),Advanced Graph Theory Research; Interconnection Networks and Systems; Mobile Ad Hoc Networks,,,0,,Random graph; Graph; Core (optical fiber); Computer science; Mathematics; Combinatorics; Telecommunications
0000-0002-3517-9034,W2752069335,"2‐ホスホリル‐,2‐チオホスホリル‐及び2‐セレノホスホリル‐置換1,3‐ジチオランのアノマ効果の固体状態立体配座",1997,1997-01-01,,article,0,Journal of Organometallic Chemistry,,M. Mikołajczyk; Piotr Graczyk; Jarosław Błaszczyk; Grzegorz Bujacz,0000-0003-4919-9930; 0000-0003-1260-9860; 0000-0003-2985-6569; 0000-0002-3787-7522,4,,Chemistry
0000-0002-3517-9034,W4211244254,References,2000,2000-02-28,https://doi.org/10.1002/9781118032718.refs,other,0,,Constraint Satisfaction and Optimization; Advanced Graph Theory Research; Data Management and Algorithms,Svante Janson; Andrzej Ruciński,0000-0002-9680-2790; 0000-0002-0742-7694,2,,Computer science
0000-0002-3517-9034,W4240752200,Maximal Induced Trees in Sparse Random Graphs,1988,1988-01-01,https://doi.org/10.1016/s0167-5060(08)70792-1,book-chapter,0,Annals of discrete mathematics,Advanced Graph Theory Research; Stochastic processes and statistical mechanics; Graph theory and applications,Zbigniew Pałka,0000-0001-7176-8330,1,,Mathematics; Combinatorics; Random graph; Conjecture; Tree (set theory); Discrete mathematics; Graph; Enhanced Data Rates for GSM Evolution; Constant (computer programming); Computer science; Artificial intelligence
0000-0002-3517-9034,W821652186,Small bases for finite groups,1998,1998-01-01,https://doi.org/10.4064/cm-78-1-35-37,article,0,Colloquium Mathematicum,Finite Group Theory Research,Tomasz Schoen,0000-0002-9427-3127,1,,Mathematics; Pure mathematics
0000-0002-9969-5257,W2073473618,Classification of edible oils using synchronous scanning fluorescence spectroscopy,2004,2004-04-18,https://doi.org/10.1016/j.foodchem.2004.02.028,article,182,Food Chemistry,Spectroscopy and Chemometric Analyses; Advanced Chemical Sensor Technologies; Edible Oils Quality and Analysis,Ewa Sikorska; Igor Khmelinskii; Marek Sikorski; Jacek Kozioł,0000-0002-0425-5807; 0000-0002-6116-184X; 0000-0002-9527-7322; 0000-0003-1959-4171,4,,Fluorescence; Fluorescence spectroscopy; Luminescence; Chemistry; Analytical Chemistry (journal); Spectroscopy; Emission spectrum; Rapeseed; Chromatography; Spectral line; Materials science; Food science; Optoelectronics; Optics
0000-0002-9969-5257,W2033268097,Multivariate time series classification with parametric derivative dynamic time warping,2014,2014-11-17,https://doi.org/10.1016/j.eswa.2014.11.007,article,142,Expert Systems with Applications,Time Series Analysis and Forecasting; Music and Audio Processing; Advanced Text Analysis Techniques,Maciej Łuczak,0000-0002-0760-0637,1,,Dynamic time warping; Multivariate statistics; Computer science; k-nearest neighbors algorithm; Parametric statistics; Range (aeronautics); Series (stratigraphy); Pattern recognition (psychology); Image warping; Time series; Artificial intelligence; Data mining; Machine learning; Mathematics; Statistics
0000-0002-9969-5257,W3133445514,"Rapid screening of apple juice quality using ultraviolet, visible, and near infrared spectroscopy and chemometrics: A comparative study",2021,2021-02-11,https://doi.org/10.1016/j.microc.2021.106051,article,39,Microchemical Journal,Spectroscopy and Chemometric Analyses; Water Quality Monitoring and Analysis; Spectroscopy Techniques in Biomedical and Chemical Research,Katarzyna Włodarska; Paweł Piasecki; Ana Lobo‐Prieto; Katarzyna Pawlak‐Lemańska; Ewa Sikorska,0000-0001-7611-001X; 0000-0002-4206-4550; 0000-0002-3178-2469; 0000-0001-7783-3244; 0000-0002-0425-5807,5,,Partial least squares regression; Chemometrics; Chemistry; Analytical Chemistry (journal); Ultraviolet; Calibration; Near-infrared spectroscopy; Spectral line; Spectroscopy; Titratable acid; Chromatography; Materials science; Food science; Mathematics; Physics; Statistics; Optics
0000-0002-9969-5257,W2016571104,Non-isometric transforms in time series classification using DTW,2014,2014-02-28,https://doi.org/10.1016/j.knosys.2014.02.011,article,89,Knowledge-Based Systems,Time Series Analysis and Forecasting; Music and Audio Processing; Advanced Text Analysis Techniques,Maciej Łuczak,0000-0002-0760-0637,1,,Computer science; Series (stratigraphy); Distance measures; Time series; Dynamic time warping; Pattern recognition (psychology); Data mining; Set (abstract data type); Artificial intelligence; Data set; Machine learning
0000-0002-9969-5257,W1975944612,Using derivatives in a longest common subsequence dissimilarity measure for time series classification,2014,2014-03-27,https://doi.org/10.1016/j.patrec.2014.03.009,article,40,Pattern Recognition Letters,Time Series Analysis and Forecasting; Anomaly Detection Techniques and Applications; Complex Systems and Time Series Analysis,,,0,,Longest common subsequence problem; Measure (data warehouse); Subsequence; Series (stratigraphy); Similarity measure; Computer science; Similarity (geometry); Time series; Data mining; Set (abstract data type); Artificial intelligence; Extension (predicate logic); Pattern recognition (psychology); Function (biology); Mathematics; Machine learning; Algorithm
0000-0002-9969-5257,W4391723849,An exhaustive comparison of distance measures in the classification of time series with 1NN method,2024,2024-02-10,https://doi.org/10.1016/j.jocs.2024.102235,article,11,Journal of Computational Science,Time Series Analysis and Forecasting; Music and Audio Processing; Anomaly Detection Techniques and Applications,Maciej Łuczak; Paweł Piasecki,0000-0002-0760-0637; 0000-0002-4206-4550,2,,Dynamic time warping; Computer science; Distance measures; Classifier (UML); Series (stratigraphy); Time series; k-nearest neighbors algorithm; Nearest neighbor search; Data mining; Pattern recognition (psychology); Artificial intelligence; Euclidean distance; Machine learning
0000-0002-9969-5257,W1982378048,Monitoring beer during storage by fluorescence spectroscopy,2005,2005-05-25,https://doi.org/10.1016/j.foodchem.2005.02.045,article,60,Food Chemistry,Spectroscopy and Chemometric Analyses; Fermentation and Sensory Analysis; Advanced Chemical Sensor Technologies,Ewa Sikorska; Igor Khmelinskii; Marek Sikorski,0000-0002-0425-5807; 0000-0002-6116-184X; 0000-0002-9527-7322,3,,Fluorescence; Fluorescence spectroscopy; Principal component analysis; Luminescence; Analytical Chemistry (journal); Spectroscopy; Linear discriminant analysis; Chemistry; Chemometrics; Chromatography; Multivariate statistics; Materials science; Optics; Artificial intelligence; Mathematics; Computer science; Optoelectronics; Physics; Statistics
0000-0002-9969-5257,W4244995299,A learning algorithm combining functional discriminant coordinates and functional principal components,2014,2014-01-01,https://doi.org/10.7151/dmps.1163,article,2,Discussiones Mathematicae Probability and Statistics,Industrial Technology and Control Systems; Advanced Algorithms and Applications; Spectroscopy and Chemometric Analyses,Mirosław Krzyśko,0000-0001-8075-4432,1,,Mathematics; Principal component analysis; Linear discriminant analysis; Discriminant; Functional principal component analysis; Algorithm; Principal (computer security); Pattern recognition (psychology); Artificial intelligence; Statistics; Computer science
0000-0002-9969-5257,W793975520,Rozwój gospodarczy polskich regionów na podstawie analizy shift-share w latach 1999-2004,2008,2008-01-01,,article,1,,Regional Economic and Spatial Analysis; Polish socio-economic development; Economic Growth and Fiscal Policies,Ewa Łaźniewska,0000-0002-2784-2190,1,,Physics
0000-0002-9969-5257,W1174874676,Metody wizualizacji danych w badaniach regionalnych,2004,2004-01-01,,article,1,Wiadomości Statystyczne The Polish Statistician,Polish socio-economic development; Agricultural economics and policies,Ewa Łaźniewska,0000-0002-2784-2190,1,,Computer science
0000-0002-9969-5257,W1018984857,Możliwości wizualizacji danych wielowymiarowych,2004,2004-01-01,,article,0,Wiadomości Statystyczne The Polish Statistician,Agricultural economics and policies; Botany and Plant Ecology Studies; Polish socio-economic development,Ewa Łaźniewska,0000-0002-2784-2190,1,,Computer science
0000-0002-9969-5257,W1036342135,Współczesne tendencje w budowie śmigłowców o podwyższonym standardzie użytkowania,2011,2011-01-01,,article,0,Transactions of the Institute of Aviation,Aerospace Engineering and Applications; Engine and Fuel Emissions,,,0,,Theology; Philosophy
